Title,Series,Author,Author Gender,Pages,Release year,Start date,Finish date,Pages accumulated,Avg. Pages per day,Bechdel,Word count,Words accumulated,Words per page,Words per day,Rating,DTR,Formatted start date
Start,,,,0,0,2020-01-01,2020-01-01,0,0,,0,0,0,0,,,"Jan 1, 2020"
The Sparrow,The Sparrow #1,Mary Doria Russell,F,516,1996,2020-01-01,2020-01-15,516,34,Y,114414,114414,221.7325581,8172,5,14,"Jan 1, 2020"
Spin,Spin #1,Robert Charles Wilson,M,464,2005,2020-01-15,2020-01-30,980,29,N,130108,244522,280.4051724,8674,6,15,"Jan 15, 2020"
The Gods Themselves,,Isaac Asimov,M,288,1972,2020-01-30,2020-02-12,1268,21,N,85236,329758,295.9583333,6557,6,13,"Jan 30, 2020"
Hyperion,Hyperion Cantos #1,Dan Simmons,M,482,1989,2020-02-12,2020-02-26,1750,32,Y,144771,474529,300.3547718,10341,8,14,"Feb 12, 2020"
The Fall of Hyperion,Hyperion Cantos #2,Dan Simmons,M,517,1990,2020-02-26,2020-03-03,2267,74,Y,148045,622574,286.3539652,24674,7,6,"Feb 26, 2020"
Recursion,,Blake Crouch,M,336,2019,2020-03-03,2020-03-12,2603,34,Y,94216,716790,280.4047619,10468,4,9,"Mar 3, 2020"
God Bless You Mr. Rosewater,,Kurt Vonnegut,M,288,1965,2020-03-12,2020-03-18,2891,41,Y,79328,796118,275.4444444,13221,9,6,"Mar 12, 2020"
The Left Hand of Darkness,Hainish Cycle #4,Ursula K. Le Guin,F,304,1969,2020-03-18,2020-03-24,3195,43,Y,85236,881354,280.3815789,14206,10,6,"Mar 18, 2020"
Sundiver,Uplift #1,David Brin,M,340,1980,2020-03-24,2020-04-06,3535,24,N,100670,982024,296.0882353,7744,3,13,"Mar 24, 2020"
The Dispossessed,Hainish Cycle #6,Ursula K. Le Guin,F,387,1974,2020-04-06,2020-04-20,3922,26,N,112172,1094196,289.8501292,8012,10,14,"Apr 6, 2020"
The Forever War,The Forever War #1,Joe Haldeman,M,278,1974,2020-04-20,2020-04-27,4200,35,N,74012,1168208,266.2302158,10573,8,7,"Apr 20, 2020"
Leviathan Wakes,The Expanse #1,James S.A. Corey,M,561,2011,2020-04-27,2020-05-03,4761,80,N,165982,1334190,295.8680927,27664,5,6,"Apr 27, 2020"
Wizard,Gaea #2,John Varley,M,384,1980,2020-05-03,2020-05-14,5145,32,Y,107685,1441875,280.4296875,9790,7,11,"May 3, 2020"
The Lathe of Heaven,,Ursula K. Le Guin,F,184,1971,2020-05-14,2020-05-17,5329,46,N,57760,1499635,313.9130435,19253,9,3,"May 14, 2020"
Red Mars,Mars Trilogy #1,Kim Stanley Robinson,M,572,1992,2020-05-17,2020-06-06,5901,27,Y,160377,1660012,280.3793706,8019,6,20,"May 17, 2020"
Neuromancer,Sprawl #1,William Gibson,M,319,1984,2020-06-06,2020-06-14,6220,35,Y,94216,1754228,295.3479624,11777,10,8,"Jun 6, 2020"
The Word for World is Forest,Hainish Cycle #5,Ursula K. Le Guin,F,128,1972,2020-06-14,2020-06-21,6348,16,-,53809,1808037,420.3828125,7687,8,7,"Jun 14, 2020"
White Fragility,,Robin DiAngelo,F,192,2018,2020-06-21,2020-07-03,6540,15,-,51614,1859651,268.8229167,4301,-,12,"Jun 21, 2020"
The Player of Games,Culture #2,Ian M. Banks,M,309,1988,2020-07-03,2020-07-11,6849,34,N,116656,1976307,377.5275081,14582,8,8,"Jul 3, 2020"
Foundation and Empire,Foundation #2,Isaac Asimov,M,230,1952,2020-07-11,2020-07-18,7079,29,N,79062,2055369,343.7478261,11295,2,7,"Jul 11, 2020"
Shards of Honor,Vorkosigan Saga #1,Lois McMaster Bujold,F,229,1986,2020-07-18,2020-07-25,7308,29,Y,76257,2131626,333,10894,6,7,"Jul 18, 2020"
Use of Weapons,Culture #3,Ian M. Banks,M,411,1990,2020-07-25,2020-08-13,7719,21,,143561,2275187,349.296837,7556,6,19,"Jul 25, 2020"
